GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0600000US4808590100,4808590100,"Anna CCD, Collin County, Texas",77189,10044
0600000US4808590350,4808590350,"Blue Ridge CCD, Collin County, Texas",61735,5538
0600000US4808590665,4808590665,"Celina CCD, Collin County, Texas",107192,9642
0600000US4808591295,4808591295,"Farmersville CCD, Collin County, Texas",70972,12353
0600000US4808592360,4808592360,"McKinney CCD, Collin County, Texas",89747,1560
0600000US4808592720,4808592720,"Nevada CCD, Collin County, Texas",75848,4973
0600000US4808593065,4808593065,"Plano CCD, Collin County, Texas",85694,1612
0600000US4808593150,4808593150,"Princeton CCD, Collin County, Texas",55613,6871
